Loading new model ...
[encoder] [light liif] [heavy liif] Init from ... save/carn-liif-pcsr-x4-phase1/iter_last.pth
model: #params=144.2K
Model_ref resumed from ... save/carn-liif-pcsr-x4-phase1/iter_last.pth
model_ref: #params=144.1K
iter 400/200000, train: loss=25.3661, lr: 2.0000e-04, 26.4s 26.4s/3.7h
iter 19200/200000, train: loss=25.4808, lr: 1.9549e-04, 26.0s 20.6m/3.6h
iter 19600/200000, train: loss=25.1871, lr: 1.9530e-04, 25.8s 21.1m/3.6h
iter 20000/200000, train: loss=24.6532, lr: 1.9511e-04, 25.8s 21.5m/3.6h
DIV2K_valid_sub (x4) | psnr(rgb): 31.89 dB | flops (per patch): 1.16G | easy ratio (per patch): 0.0 %
DIV2K_valid_sub (x4) | psnr(rgb): 31.86 dB | flops (per patch): 0.82G | easy ratio (per patch): 42.0 %
iter 20400/200000, train: loss=24.9690, lr: 1.9491e-04, 7.2m 28.7m/4.7h
iter 20800/200000, train: loss=24.4146, lr: 1.9471e-04, 25.7s 29.2m/4.7h
iter 21200/200000, train: loss=25.2272, lr: 1.9451e-04, 25.9s 29.6m/4.7h
iter 21600/200000, train: loss=25.0932, lr: 1.9430e-04, 25.9s 30.0m/4.6h
iter 22000/200000, train: loss=24.8645, lr: 1.9409e-04, 26.0s 30.5m/4.6h
iter 22400/200000, train: loss=25.0410, lr: 1.9388e-04, 25.9s 30.9m/4.6h
iter 22800/200000, train: loss=25.2654, lr: 1.9366e-04, 25.7s 31.3m/4.6h
iter 23200/200000, train: loss=25.3154, lr: 1.9344e-04, 25.8s 31.7m/4.6h
iter 23600/200000, train: loss=25.0930, lr: 1.9321e-04, 25.7s 32.2m/4.5h
iter 24000/200000, train: loss=24.6145, lr: 1.9298e-04, 25.9s 32.6m/4.5h
iter 24400/200000, train: loss=25.1164, lr: 1.9275e-04, 25.8s 33.0m/4.5h
iter 24800/200000, train: loss=25.5073, lr: 1.9251e-04, 25.8s 33.5m/4.5h
iter 25200/200000, train: loss=24.6562, lr: 1.9227e-04, 25.8s 33.9m/4.5h
iter 25600/200000, train: loss=25.1682, lr: 1.9203e-04, 25.9s 34.3m/4.5h
iter 26000/200000, train: loss=25.0440, lr: 1.9178e-04, 25.8s 34.8m/4.5h
iter 26400/200000, train: loss=24.5118, lr: 1.9153e-04, 25.9s 35.2m/4.4h
iter 26800/200000, train: loss=25.5180, lr: 1.9127e-04, 25.9s 35.6m/4.4h
iter 27200/200000, train: loss=25.3322, lr: 1.9102e-04, 25.8s 36.0m/4.4h
iter 27600/200000, train: loss=24.8797, lr: 1.9075e-04, 25.7s 36.5m/4.4h
iter 28000/200000, train: loss=24.6047, lr: 1.9049e-04, 25.5s 36.9m/4.4h
iter 28400/200000, train: loss=24.9989, lr: 1.9022e-04, 25.5s 37.3m/4.4h
iter 28800/200000, train: loss=25.2684, lr: 1.8995e-04, 26.0s 37.8m/4.4h
iter 29200/200000, train: loss=25.2963, lr: 1.8967e-04, 25.7s 38.2m/4.4h
iter 29600/200000, train: loss=25.1922, lr: 1.8939e-04, 25.8s 38.6m/4.3h
iter 30000/200000, train: loss=24.9125, lr: 1.8911e-04, 25.8s 39.0m/4.3h
iter 30400/200000, train: loss=25.3996, lr: 1.8882e-04, 25.9s 39.5m/4.3h
iter 30800/200000, train: loss=25.0592, lr: 1.8853e-04, 25.8s 39.9m/4.3h
iter 31200/200000, train: loss=25.0061, lr: 1.8824e-04, 25.7s 40.3m/4.3h
iter 31600/200000, train: loss=24.6718, lr: 1.8794e-04, 25.9s 40.8m/4.3h
iter 32000/200000, train: loss=24.9413, lr: 1.8764e-04, 25.8s 41.2m/4.3h
iter 32400/200000, train: loss=25.1445, lr: 1.8733e-04, 25.8s 41.6m/4.3h
iter 32800/200000, train: loss=25.1595, lr: 1.8702e-04, 25.8s 42.1m/4.3h
iter 33200/200000, train: loss=25.0765, lr: 1.8671e-04, 25.8s 42.5m/4.3h
iter 33600/200000, train: loss=24.7534, lr: 1.8640e-04, 25.8s 42.9m/4.3h
iter 34000/200000, train: loss=25.0245, lr: 1.8608e-04, 26.1s 43.4m/4.3h
iter 34400/200000, train: loss=24.8592, lr: 1.8576e-04, 25.9s 43.8m/4.2h
iter 34800/200000, train: loss=24.8800, lr: 1.8544e-04, 25.9s 44.2m/4.2h
iter 35200/200000, train: loss=25.1501, lr: 1.8511e-04, 25.9s 44.7m/4.2h
iter 35600/200000, train: loss=25.1390, lr: 1.8478e-04, 25.8s 45.1m/4.2h
iter 36000/200000, train: loss=25.1222, lr: 1.8444e-04, 25.8s 45.5m/4.2h
iter 36400/200000, train: loss=25.3828, lr: 1.8410e-04, 25.9s 45.9m/4.2h
iter 36800/200000, train: loss=25.1846, lr: 1.8376e-04, 26.0s 46.4m/4.2h
iter 37200/200000, train: loss=24.9364, lr: 1.8342e-04, 25.9s 46.8m/4.2h
iter 37600/200000, train: loss=24.9643, lr: 1.8307e-04, 26.0s 47.2m/4.2h
iter 38000/200000, train: loss=24.8325, lr: 1.8272e-04, 25.9s 47.7m/4.2h
iter 38400/200000, train: loss=25.4543, lr: 1.8236e-04, 26.0s 48.1m/4.2h
iter 38800/200000, train: loss=25.2830, lr: 1.8200e-04, 25.9s 48.5m/4.2h
iter 39200/200000, train: loss=25.2659, lr: 1.8164e-04, 25.9s 49.0m/4.2h
iter 39600/200000, train: loss=24.6507, lr: 1.8128e-04, 25.9s 49.4m/4.2h
iter 40000/200000, train: loss=24.9148, lr: 1.8091e-04, 25.8s 49.8m/4.2h
DIV2K_valid_sub (x4) | psnr(rgb): 31.89 dB | flops (per patch): 1.16G | easy ratio (per patch): 0.0 %
DIV2K_valid_sub (x4) | psnr(rgb): 31.86 dB | flops (per patch): 0.83G | easy ratio (per patch): 41.2 %
iter 40400/200000, train: loss=24.9570, lr: 1.8054e-04, 7.3m 57.1m/4.7h
iter 40800/200000, train: loss=24.9420, lr: 1.8017e-04, 25.7s 57.5m/4.7h
iter 41200/200000, train: loss=24.9629, lr: 1.7979e-04, 26.0s 58.0m/4.7h
iter 41600/200000, train: loss=25.1245, lr: 1.7941e-04, 25.8s 58.4m/4.7h
iter 42000/200000, train: loss=25.2349, lr: 1.7903e-04, 26.0s 58.8m/4.7h
iter 42400/200000, train: loss=25.2691, lr: 1.7864e-04, 25.9s 59.3m/4.7h
iter 42800/200000, train: loss=24.6481, lr: 1.7825e-04, 25.9s 59.7m/4.6h
iter 43200/200000, train: loss=25.2725, lr: 1.7786e-04, 26.0s 1.0h/4.6h
iter 43600/200000, train: loss=25.2670, lr: 1.7746e-04, 26.0s 1.0h/4.6h
iter 44000/200000, train: loss=24.9610, lr: 1.7706e-04, 25.9s 1.0h/4.6h
iter 44400/200000, train: loss=24.8667, lr: 1.7666e-04, 26.0s 1.0h/4.6h
iter 44800/200000, train: loss=25.0624, lr: 1.7626e-04, 25.8s 1.0h/4.6h
iter 45200/200000, train: loss=24.9146, lr: 1.7585e-04, 25.8s 1.0h/4.6h
iter 45600/200000, train: loss=24.6675, lr: 1.7544e-04, 25.8s 1.0h/4.6h
iter 46000/200000, train: loss=25.3483, lr: 1.7502e-04, 25.8s 1.1h/4.6h
iter 46400/200000, train: loss=24.7606, lr: 1.7461e-04, 25.9s 1.1h/4.6h
iter 46800/200000, train: loss=25.4046, lr: 1.7419e-04, 26.0s 1.1h/4.6h
iter 47200/200000, train: loss=25.4661, lr: 1.7376e-04, 25.8s 1.1h/4.6h
iter 47600/200000, train: loss=25.0480, lr: 1.7334e-04, 26.0s 1.1h/4.5h
iter 48000/200000, train: loss=24.6998, lr: 1.7291e-04, 25.9s 1.1h/4.5h
iter 48400/200000, train: loss=24.9307, lr: 1.7248e-04, 26.1s 1.1h/4.5h
iter 48800/200000, train: loss=25.2096, lr: 1.7204e-04, 26.0s 1.1h/4.5h
iter 49200/200000, train: loss=24.8386, lr: 1.7161e-04, 26.0s 1.1h/4.5h
iter 49600/200000, train: loss=25.0023, lr: 1.7117e-04, 25.9s 1.1h/4.5h
iter 50000/200000, train: loss=25.0626, lr: 1.7073e-04, 25.8s 1.1h/4.5h
iter 50400/200000, train: loss=25.1820, lr: 1.7028e-04, 26.0s 1.1h/4.5h
iter 50800/200000, train: loss=25.0829, lr: 1.6983e-04, 25.9s 1.1h/4.5h
iter 51200/200000, train: loss=24.7530, lr: 1.6938e-04, 26.0s 1.1h/4.5h
iter 51600/200000, train: loss=24.9479, lr: 1.6893e-04, 25.8s 1.2h/4.5h
iter 52000/200000, train: loss=25.0251, lr: 1.6847e-04, 25.9s 1.2h/4.5h
iter 52400/200000, train: loss=25.1029, lr: 1.6801e-04, 26.0s 1.2h/4.5h
iter 52800/200000, train: loss=25.1570, lr: 1.6755e-04, 25.9s 1.2h/4.5h
iter 53200/200000, train: loss=24.6876, lr: 1.6709e-04, 26.0s 1.2h/4.4h
iter 53600/200000, train: loss=24.7049, lr: 1.6662e-04, 26.0s 1.2h/4.4h
iter 54000/200000, train: loss=24.6926, lr: 1.6615e-04, 26.0s 1.2h/4.4h
iter 54400/200000, train: loss=25.0958, lr: 1.6568e-04, 25.9s 1.2h/4.4h
iter 54800/200000, train: loss=25.0115, lr: 1.6520e-04, 25.9s 1.2h/4.4h
iter 55200/200000, train: loss=24.7292, lr: 1.6472e-04, 25.8s 1.2h/4.4h
iter 55600/200000, train: loss=24.8836, lr: 1.6424e-04, 25.9s 1.2h/4.4h
iter 56000/200000, train: loss=25.2461, lr: 1.6376e-04, 25.8s 1.2h/4.4h
iter 56400/200000, train: loss=25.1616, lr: 1.6328e-04, 25.8s 1.2h/4.4h
iter 56800/200000, train: loss=24.7258, lr: 1.6279e-04, 25.8s 1.2h/4.4h
iter 57200/200000, train: loss=25.3417, lr: 1.6230e-04, 25.9s 1.3h/4.4h
iter 57600/200000, train: loss=24.9592, lr: 1.6181e-04, 25.9s 1.3h/4.4h
iter 58000/200000, train: loss=25.2932, lr: 1.6131e-04, 25.9s 1.3h/4.4h
iter 58400/200000, train: loss=25.1988, lr: 1.6081e-04, 25.8s 1.3h/4.4h
iter 58800/200000, train: loss=25.0456, lr: 1.6031e-04, 25.9s 1.3h/4.4h
iter 59200/200000, train: loss=25.4762, lr: 1.5981e-04, 25.9s 1.3h/4.4h
iter 59600/200000, train: loss=25.2069, lr: 1.5931e-04, 26.0s 1.3h/4.4h
iter 60000/200000, train: loss=25.4615, lr: 1.5880e-04, 25.8s 1.3h/4.3h
DIV2K_valid_sub (x4) | psnr(rgb): 31.89 dB | flops (per patch): 1.16G | easy ratio (per patch): 0.0 %
DIV2K_valid_sub (x4) | psnr(rgb): 31.86 dB | flops (per patch): 0.82G | easy ratio (per patch): 41.8 %
iter 60400/200000, train: loss=25.0377, lr: 1.5829e-04, 7.2m 1.4h/4.7h
iter 60800/200000, train: loss=25.1346, lr: 1.5778e-04, 25.8s 1.4h/4.7h
iter 61200/200000, train: loss=25.0071, lr: 1.5726e-04, 25.9s 1.4h/4.7h
iter 61600/200000, train: loss=25.3387, lr: 1.5675e-04, 25.9s 1.4h/4.7h
iter 62000/200000, train: loss=24.8959, lr: 1.5623e-04, 25.9s 1.5h/4.7h
iter 62400/200000, train: loss=25.3235, lr: 1.5571e-04, 26.0s 1.5h/4.7h
iter 62800/200000, train: loss=25.2811, lr: 1.5519e-04, 26.1s 1.5h/4.7h
iter 63200/200000, train: loss=24.8379, lr: 1.5466e-04, 25.9s 1.5h/4.7h
iter 63600/200000, train: loss=25.0319, lr: 1.5414e-04, 26.1s 1.5h/4.7h
iter 64000/200000, train: loss=25.3509, lr: 1.5361e-04, 26.1s 1.5h/4.7h
iter 64400/200000, train: loss=25.2157, lr: 1.5307e-04, 25.9s 1.5h/4.6h
iter 64800/200000, train: loss=24.7903, lr: 1.5254e-04, 25.8s 1.5h/4.6h
iter 65200/200000, train: loss=25.3678, lr: 1.5201e-04, 25.9s 1.5h/4.6h
iter 65600/200000, train: loss=25.1591, lr: 1.5147e-04, 25.7s 1.5h/4.6h
iter 66000/200000, train: loss=24.8304, lr: 1.5093e-04, 26.0s 1.5h/4.6h
iter 66400/200000, train: loss=24.8891, lr: 1.5039e-04, 26.0s 1.5h/4.6h
iter 66800/200000, train: loss=24.7400, lr: 1.4984e-04, 26.0s 1.5h/4.6h
iter 67200/200000, train: loss=25.2988, lr: 1.4930e-04, 25.9s 1.5h/4.6h
iter 67600/200000, train: loss=25.5188, lr: 1.4875e-04, 26.0s 1.6h/4.6h
iter 68000/200000, train: loss=24.6985, lr: 1.4820e-04, 26.0s 1.6h/4.6h
iter 68400/200000, train: loss=24.4934, lr: 1.4765e-04, 26.0s 1.6h/4.6h
iter 68800/200000, train: loss=25.2421, lr: 1.4710e-04, 26.0s 1.6h/4.6h
iter 69200/200000, train: loss=25.2530, lr: 1.4654e-04, 26.0s 1.6h/4.6h
iter 69600/200000, train: loss=24.6601, lr: 1.4599e-04, 26.0s 1.6h/4.6h
iter 70000/200000, train: loss=24.9487, lr: 1.4543e-04, 25.9s 1.6h/4.6h
iter 70400/200000, train: loss=25.0246, lr: 1.4487e-04, 25.9s 1.6h/4.6h
iter 70800/200000, train: loss=25.0553, lr: 1.4430e-04, 26.0s 1.6h/4.6h
iter 71200/200000, train: loss=24.9876, lr: 1.4374e-04, 25.9s 1.6h/4.5h
iter 71600/200000, train: loss=25.0748, lr: 1.4317e-04, 25.9s 1.6h/4.5h
iter 72000/200000, train: loss=24.8499, lr: 1.4261e-04, 25.9s 1.6h/4.5h
iter 72400/200000, train: loss=24.8927, lr: 1.4204e-04, 25.9s 1.6h/4.5h
iter 72800/200000, train: loss=25.3225, lr: 1.4147e-04, 25.9s 1.6h/4.5h
iter 73200/200000, train: loss=25.4127, lr: 1.4089e-04, 26.2s 1.7h/4.5h
iter 73600/200000, train: loss=24.6246, lr: 1.4032e-04, 25.7s 1.7h/4.5h
iter 74000/200000, train: loss=24.8498, lr: 1.3974e-04, 26.0s 1.7h/4.5h
iter 74400/200000, train: loss=25.2447, lr: 1.3917e-04, 26.0s 1.7h/4.5h
iter 74800/200000, train: loss=24.8970, lr: 1.3859e-04, 25.9s 1.7h/4.5h
iter 75200/200000, train: loss=24.7839, lr: 1.3801e-04, 25.9s 1.7h/4.5h
iter 75600/200000, train: loss=25.3824, lr: 1.3743e-04, 25.9s 1.7h/4.5h
iter 76000/200000, train: loss=24.6142, lr: 1.3684e-04, 25.8s 1.7h/4.5h
iter 76400/200000, train: loss=25.0550, lr: 1.3626e-04, 26.0s 1.7h/4.5h
iter 76800/200000, train: loss=25.0089, lr: 1.3567e-04, 25.8s 1.7h/4.5h
iter 77200/200000, train: loss=24.9862, lr: 1.3509e-04, 26.0s 1.7h/4.5h
iter 77600/200000, train: loss=24.8743, lr: 1.3450e-04, 26.0s 1.7h/4.5h
iter 78000/200000, train: loss=25.2443, lr: 1.3391e-04, 26.0s 1.7h/4.5h
iter 78400/200000, train: loss=24.9845, lr: 1.3332e-04, 26.0s 1.7h/4.5h
iter 78800/200000, train: loss=24.8651, lr: 1.3272e-04, 25.9s 1.8h/4.5h
iter 79200/200000, train: loss=24.6921, lr: 1.3213e-04, 25.9s 1.8h/4.5h
iter 79600/200000, train: loss=25.4524, lr: 1.3153e-04, 26.0s 1.8h/4.4h
iter 80000/200000, train: loss=24.8652, lr: 1.3094e-04, 26.0s 1.8h/4.4h
DIV2K_valid_sub (x4) | psnr(rgb): 31.89 dB | flops (per patch): 1.16G | easy ratio (per patch): 0.0 %
DIV2K_valid_sub (x4) | psnr(rgb): 31.86 dB | flops (per patch): 0.82G | easy ratio (per patch): 41.3 %
iter 80400/200000, train: loss=24.9479, lr: 1.3034e-04, 7.2m 1.9h/4.7h
iter 80800/200000, train: loss=24.7193, lr: 1.2974e-04, 25.7s 1.9h/4.7h
iter 81200/200000, train: loss=25.5524, lr: 1.2914e-04, 26.0s 1.9h/4.7h
iter 81600/200000, train: loss=25.1346, lr: 1.2854e-04, 26.2s 1.9h/4.7h
iter 82000/200000, train: loss=24.9540, lr: 1.2794e-04, 25.9s 1.9h/4.7h
iter 82400/200000, train: loss=25.0074, lr: 1.2733e-04, 26.0s 1.9h/4.7h
iter 82800/200000, train: loss=25.1455, lr: 1.2673e-04, 26.1s 1.9h/4.7h
iter 83200/200000, train: loss=24.8427, lr: 1.2612e-04, 26.0s 1.9h/4.7h
iter 83600/200000, train: loss=25.3603, lr: 1.2551e-04, 26.0s 2.0h/4.7h
iter 84000/200000, train: loss=25.1175, lr: 1.2491e-04, 25.9s 2.0h/4.7h
iter 84400/200000, train: loss=24.6145, lr: 1.2430e-04, 26.0s 2.0h/4.7h
iter 84800/200000, train: loss=25.0878, lr: 1.2369e-04, 26.0s 2.0h/4.7h
iter 85200/200000, train: loss=24.6764, lr: 1.2308e-04, 26.1s 2.0h/4.7h
iter 85600/200000, train: loss=25.0152, lr: 1.2247e-04, 26.0s 2.0h/4.7h
iter 86000/200000, train: loss=25.1443, lr: 1.2185e-04, 26.0s 2.0h/4.6h
iter 86400/200000, train: loss=24.8001, lr: 1.2124e-04, 26.0s 2.0h/4.6h
iter 86800/200000, train: loss=25.0311, lr: 1.2063e-04, 26.2s 2.0h/4.6h
iter 87200/200000, train: loss=25.2174, lr: 1.2001e-04, 26.1s 2.0h/4.6h
iter 87600/200000, train: loss=24.8159, lr: 1.1940e-04, 26.0s 2.0h/4.6h
iter 88000/200000, train: loss=24.8497, lr: 1.1878e-04, 26.0s 2.0h/4.6h
iter 88400/200000, train: loss=24.9667, lr: 1.1816e-04, 26.0s 2.0h/4.6h
iter 88800/200000, train: loss=25.4973, lr: 1.1754e-04, 26.0s 2.0h/4.6h
iter 89200/200000, train: loss=25.1741, lr: 1.1692e-04, 26.1s 2.1h/4.6h
iter 89600/200000, train: loss=25.6930, lr: 1.1631e-04, 26.2s 2.1h/4.6h
iter 90000/200000, train: loss=25.5403, lr: 1.1569e-04, 26.0s 2.1h/4.6h
iter 90400/200000, train: loss=24.9100, lr: 1.1507e-04, 26.1s 2.1h/4.6h
iter 90800/200000, train: loss=25.1463, lr: 1.1444e-04, 26.1s 2.1h/4.6h
iter 91200/200000, train: loss=25.1612, lr: 1.1382e-04, 25.9s 2.1h/4.6h
iter 91600/200000, train: loss=24.8292, lr: 1.1320e-04, 26.0s 2.1h/4.6h
iter 92000/200000, train: loss=25.2215, lr: 1.1258e-04, 26.0s 2.1h/4.6h
iter 92400/200000, train: loss=25.5695, lr: 1.1195e-04, 26.1s 2.1h/4.6h
iter 92800/200000, train: loss=24.8598, lr: 1.1133e-04, 26.2s 2.1h/4.6h
iter 93200/200000, train: loss=25.1365, lr: 1.1071e-04, 26.1s 2.1h/4.6h
iter 93600/200000, train: loss=25.2050, lr: 1.1008e-04, 26.1s 2.1h/4.6h
iter 94000/200000, train: loss=25.0473, lr: 1.0946e-04, 25.9s 2.1h/4.6h
iter 94400/200000, train: loss=24.9544, lr: 1.0883e-04, 26.0s 2.2h/4.6h
iter 94800/200000, train: loss=25.4244, lr: 1.0820e-04, 26.0s 2.2h/4.6h
iter 95200/200000, train: loss=25.2564, lr: 1.0758e-04, 26.2s 2.2h/4.5h
iter 95600/200000, train: loss=25.1050, lr: 1.0695e-04, 25.9s 2.2h/4.5h
iter 96000/200000, train: loss=25.0851, lr: 1.0633e-04, 26.0s 2.2h/4.5h
iter 96400/200000, train: loss=24.9737, lr: 1.0570e-04, 26.0s 2.2h/4.5h
iter 96800/200000, train: loss=24.7227, lr: 1.0507e-04, 25.9s 2.2h/4.5h
iter 97200/200000, train: loss=25.3773, lr: 1.0444e-04, 26.0s 2.2h/4.5h
iter 97600/200000, train: loss=25.0372, lr: 1.0382e-04, 26.1s 2.2h/4.5h
iter 98000/200000, train: loss=25.0080, lr: 1.0319e-04, 26.0s 2.2h/4.5h
iter 98400/200000, train: loss=24.7727, lr: 1.0256e-04, 26.0s 2.2h/4.5h
iter 98800/200000, train: loss=25.3415, lr: 1.0193e-04, 25.9s 2.2h/4.5h
iter 99200/200000, train: loss=24.6845, lr: 1.0131e-04, 25.9s 2.2h/4.5h
iter 99600/200000, train: loss=24.8353, lr: 1.0068e-04, 26.2s 2.2h/4.5h
iter 100000/200000, train: loss=24.8927, lr: 1.0005e-04, 27.0s 2.3h/4.5h
DIV2K_valid_sub (x4) | psnr(rgb): 31.89 dB | flops (per patch): 1.16G | easy ratio (per patch): 0.0 %
DIV2K_valid_sub (x4) | psnr(rgb): 31.86 dB | flops (per patch): 0.82G | easy ratio (per patch): 41.4 %
iter 100400/200000, train: loss=25.2500, lr: 9.9422e-05, 7.2m 2.4h/4.7h
iter 100800/200000, train: loss=25.1960, lr: 9.8794e-05, 25.7s 2.4h/4.7h
iter 101200/200000, train: loss=25.3261, lr: 9.8166e-05, 26.1s 2.4h/4.7h
iter 101600/200000, train: loss=24.8635, lr: 9.7538e-05, 26.4s 2.4h/4.7h
iter 102000/200000, train: loss=25.6804, lr: 9.6910e-05, 25.9s 2.4h/4.7h
iter 102400/200000, train: loss=25.1380, lr: 9.6283e-05, 26.0s 2.4h/4.7h
iter 102800/200000, train: loss=25.1901, lr: 9.5655e-05, 26.0s 2.4h/4.7h
iter 103200/200000, train: loss=24.9440, lr: 9.5028e-05, 26.0s 2.4h/4.7h
iter 103600/200000, train: loss=25.1171, lr: 9.4401e-05, 26.0s 2.4h/4.7h
iter 104000/200000, train: loss=25.0224, lr: 9.3774e-05, 26.0s 2.4h/4.7h
iter 104400/200000, train: loss=24.7096, lr: 9.3147e-05, 26.0s 2.4h/4.7h
iter 104800/200000, train: loss=25.0702, lr: 9.2521e-05, 25.8s 2.5h/4.7h
iter 105200/200000, train: loss=25.4156, lr: 9.1895e-05, 25.9s 2.5h/4.7h
iter 105600/200000, train: loss=25.3020, lr: 9.1269e-05, 26.0s 2.5h/4.7h
iter 106000/200000, train: loss=24.8923, lr: 9.0644e-05, 26.1s 2.5h/4.7h
iter 106400/200000, train: loss=25.3217, lr: 9.0019e-05, 26.0s 2.5h/4.7h
iter 106800/200000, train: loss=25.3514, lr: 8.9394e-05, 26.0s 2.5h/4.7h
iter 107200/200000, train: loss=24.9326, lr: 8.8770e-05, 26.3s 2.5h/4.7h
iter 107600/200000, train: loss=24.5869, lr: 8.8146e-05, 26.1s 2.5h/4.7h
iter 108000/200000, train: loss=25.3929, lr: 8.7523e-05, 26.0s 2.5h/4.6h
iter 108400/200000, train: loss=25.2376, lr: 8.6900e-05, 26.2s 2.5h/4.6h
iter 108800/200000, train: loss=24.7998, lr: 8.6278e-05, 26.1s 2.5h/4.6h
iter 109200/200000, train: loss=25.4008, lr: 8.5656e-05, 26.0s 2.5h/4.6h
iter 109600/200000, train: loss=25.0670, lr: 8.5035e-05, 26.0s 2.5h/4.6h
iter 110000/200000, train: loss=25.4364, lr: 8.4414e-05, 26.1s 2.5h/4.6h
iter 110400/200000, train: loss=25.0712, lr: 8.3794e-05, 26.2s 2.6h/4.6h
iter 110800/200000, train: loss=24.9528, lr: 8.3175e-05, 26.0s 2.6h/4.6h
iter 111200/200000, train: loss=24.8652, lr: 8.2556e-05, 26.0s 2.6h/4.6h
